"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.598850375E0,-4.326094477E-2,-8.383393548E-1,-2.051799667E-1,8.641661888E-1
2.608900375E0,1.351779140E-1,-5.136632405E-1,-1.040430164E-1,5.412466557E-1
2.618950375E0,2.714563106E-1,-3.943257717E-1,-1.018315995E-1,4.894394931E-1
2.629001375E0,2.574067670E-1,-4.547161804E-1,-1.404664922E-1,5.410692043E-1
2.639051375E0,2.063847489E-1,-4.304453384E-1,-7.176521659E-2,4.827298419E-1
2.649101375E0,1.350196646E-1,-1.771029345E-1,-5.096433163E-2,2.284581413E-1
2.659151375E0,4.920850413E-2,1.547770774E-1,7.624710739E-2,1.794186221E-1
2.669201375E0,7.824588669E-3,3.462344695E-1,4.058844745E-2,3.486932092E-1
2.679251375E0,-1.321757799E-1,3.358392530E-1,-5.703666508E-2,3.653924216E-1
2.689301375E0,-3.321246996E-1,-3.459005843E-2,-8.923728168E-2,3.456393795E-1
2.699351375E0,-2.771404072E-1,-3.630873510E-1,-8.939983428E-2,4.654369561E-1
2.709402375E0,7.864441099E-3,-4.242800342E-1,-1.532087445E-2,4.246293985E-1
2.719452375E0,5.499693699E-2,-4.065936687E-1,5.680394590E-2,4.142098052E-1
2.729502375E0,-1.351267783E-2,-2.598496058E-1,-1.038237458E-1,2.801495677E-1
2.739552375E0,-3.901331719E-2,-1.807155818E-1,-2.307469171E-1,2.956760055E-1
2.749602375E0,1.412873682E-2,-3.877041289E-1,-1.621608317E-1,4.204881070E-1
2.759652375E0,5.093094768E-2,-7.442547313E-1,-8.667737067E-2,7.510140033E-1
2.769702375E0,1.041384174E-1,-8.102352244E-1,-9.411035120E-2,8.223032816E-1
2.779752375E0,1.626864416E-1,-7.676919796E-1,-1.419703960E-3,7.847419126E-1
2.789802375E0,3.846102574E-1,-4.713147592E0,-3.157046217E-1,4.739341165E0
2.799853375E0,-2.042989009E-1,-1.517419266E0,1.777331364E-1,1.541391689E0
2.809903375E0,2.853306022E-1,5.039173938E-1,1.746306038E-1,6.048488572E-1
2.819953375E0,-5.955206417E-3,-4.933043228E-2,-1.900900573E-1,1.964769348E-1
2.830003375E0,9.955854921E-2,1.368643150E-1,-1.006533855E-1,1.969133044E-1
2.840053375E0,-7.506083524E-2,-6.778454181E-2,8.711591184E-2,1.334842882E-1
2.850103375E0,1.184606697E-1,-3.879237923E-2,3.372323155E-2,1.291318523E-1
2.860153375E0,-6.655981508E-2,2.225698784E-2,-4.915111005E-2,8.568205244E-2
2.870203375E0,-1.522720023E-2,8.955315010E-2,-1.246690696E-1,1.542530753E-1
2.880254375E0,-1.828458504E-1,-2.804595974E-2,-1.457593918E-2,1.855576430E-1
2.890304375E0,-2.238279434E-1,-7.380117140E-2,2.979858041E-2,2.375573963E-1
2.900354375E0,-6.103602354E-2,-8.067499367E-3,2.340698898E-2,6.586628765E-2
2.910404375E0,-1.449982853E-1,-2.717223498E-2,6.010645330E-2,1.592972656E-1
2.920454375E0,-4.391224237E-2,-1.941718706E-2,-2.250008583E-2,5.302420245E-2
2.930504375E0,-1.699394558E-2,5.450057234E-3,-3.310459614E-2,3.760866384E-2
2.940554375E0,-2.162435565E-2,6.142093479E-3,-3.158490479E-2,3.876782532E-2
2.950604375E0,-3.208321547E-2,4.293002891E-3,-1.524953842E-2,3.578143389E-2
2.960654375E0,-3.169904244E-1,-1.288877992E-1,8.557984829E-3,3.422984561E-1
