"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.969027790E-1,-3.054326167E-3,-1.191187184E-2,-2.794708498E-2
4.990085230E-1,-1.832595794E-3,-3.512475174E-3,-2.306016348E-2
5.011083460E-1,-6.566801574E-3,3.817907767E-3,-1.572977938E-2
5.032281680E-1,-1.145372353E-2,2.596177394E-3,-8.399397135E-3
5.053367900E-1,-1.252273750E-2,5.039638374E-3,5.039638374E-3
5.074478640E-1,-9.926560335E-3,1.954768784E-2,1.847867295E-2
5.095518180E-1,-5.039638374E-3,2.183843218E-2,3.054326214E-2
5.116483040E-1,1.069014193E-3,9.773843922E-3,4.031710699E-2
5.137596120E-1,5.955935922E-3,3.665191587E-3,4.871650413E-2
5.158777860E-1,3.512475174E-3,9.621127509E-3,5.864306539E-2
5.179885850E-1,-2.443460980E-3,8.552113548E-3,7.086037099E-2
5.200968320E-1,-4.886921961E-3,2.443460980E-3,8.307767659E-2
5.222022080E-1,-2.443460980E-3,-1.221730490E-3,9.514226019E-2
5.243083080E-1,-1.069014193E-3,4.734205548E-3,1.122464910E-1
5.264100730E-1,-4.581489135E-3,1.084285788E-2,1.281289905E-1
5.285279530E-1,-8.246680722E-3,2.443460980E-3,1.403462887E-1
5.306364940E-1,-9.315694682E-3,-0.000000000E0,1.574505121E-1
5.327442820E-1,-1.175915636E-2,-3.665191587E-3,1.745547503E-1
5.348454880E-1,-1.527163107E-2,-7.330383174E-3,1.879937798E-1
5.369597050E-1,-1.282817032E-2,-2.443460980E-3,1.965458989E-1
5.390684600E-1,-6.719517522E-3,-2.596177394E-3,2.086104751E-1
5.411781610E-1,3.054326167E-3,-7.483099122E-3,2.196060568E-1
5.432843530E-1,7.941247895E-3,-1.725694351E-2,2.304489166E-1
5.453920280E-1,3.207042580E-3,-1.832595654E-2,2.438879460E-1
5.474965910E-1,-7.635815535E-3,-6.261368748E-3,2.513710558E-1
5.495901890E-1,-1.970040426E-2,4.734205548E-3,2.574796975E-1
5.517186180E-1,-2.336559631E-2,6.108652335E-3,2.623666227E-1
5.538291630E-1,-1.603521220E-2,4.734205548E-3,2.648100853E-1
5.559510390E-1,-3.054326226E-4,3.359758761E-3,2.658790946E-1
5.580428050E-1,1.435533352E-2,-3.054326226E-4,2.732094824E-1
5.601518960E-1,1.802052557E-2,-3.970623948E-3,2.730567753E-1
5.622561340E-1,6.872233935E-3,-1.603521220E-2,2.683225572E-1
5.643673500E-1,-8.857546374E-3,-1.588249579E-2,2.635883391E-1
5.664753720E-1,-1.985312067E-2,-1.328631863E-2,2.574796975E-1
5.685838820E-1,-1.252273750E-2,-7.330383174E-3,2.525927722E-1
5.706919550E-1,5.650503561E-3,-1.237002108E-2,2.463314086E-1
5.728002530E-1,1.404990070E-2,-2.214386500E-2,2.390010208E-1
5.749088640E-1,3.054326167E-3,-2.443460934E-2,2.292271852E-1
5.770155340E-1,-2.244929783E-2,-1.817324013E-2,2.222022265E-1
5.791155400E-1,-4.062253982E-2,1.527163113E-4,2.185370475E-1
5.812334710E-1,-3.573561832E-2,1.710422710E-2,2.160935849E-1
5.833412790E-1,-1.618792862E-2,3.512475267E-2,2.197587788E-1
5.854522000E-1,5.803219974E-3,4.581489414E-2,2.220495194E-1
5.875555520E-1,2.641992271E-2,4.673119262E-2,2.194533348E-1
5.896562610E-1,2.764165215E-2,4.550946131E-2,2.182316035E-1
5.917748420E-1,7.024950348E-3,4.214970022E-2,2.220495194E-1
5.938838210E-1,-1.618792862E-2,3.741549700E-2,2.185370475E-1
5.959938050E-1,-2.718350291E-2,3.268129006E-2,2.112066597E-1
5.981002610E-1,-2.977968007E-2,6.108652335E-3,2.038762718E-1
6.002047630E-1,-2.993239649E-2,-1.679879427E-2,1.965458989E-1
6.023053600E-1,-2.977968007E-2,-7.177666761E-3,1.989893466E-1
6.044226690E-1,-2.474004216E-2,1.343903504E-2,2.112066597E-1
6.065320240E-1,-1.985312067E-2,1.817324013E-2,2.136501223E-1
6.086433520E-1,-2.611448988E-2,-4.734205548E-3,2.136501223E-1
6.107466550E-1,-3.222314268E-2,-3.512475174E-3,2.148718536E-1
6.128432940E-1,-3.573561832E-2,-3.512475174E-3,2.185370475E-1
6.149652820E-1,-2.367102914E-2,-1.450804994E-2,2.222022265E-1
6.170732330E-1,-1.145372353E-2,-1.466076635E-2,2.257147133E-1
6.191869930E-1,4.428773187E-3,-1.374446787E-3,2.292271852E-1
6.212947910E-1,1.053742506E-2,3.359758761E-3,2.267837226E-1
6.233896100E-1,1.038470957E-2,-1.481348183E-2,2.231185287E-1
6.255067350E-1,1.878410578E-2,-2.703078650E-2,2.206750661E-1
6.276141370E-1,3.451388702E-2,-3.680463135E-2,2.205223590E-1
6.297252520E-1,3.695734590E-2,-4.291328415E-2,2.241875380E-1
6.318311580E-1,2.367102914E-2,-3.420845419E-2,2.315179259E-1
6.339391190E-1,1.634064503E-2,-2.703078650E-2,2.304489166E-1
6.360478020E-1,2.489275858E-2,-1.970040426E-2,2.280054539E-1
6.381560780E-1,3.344487399E-2,-2.474004216E-2,2.278527319E-1
6.402643040E-1,3.222314268E-2,-3.191770986E-2,2.290744632E-1
6.423701500E-1,2.733621933E-2,-3.436116874E-2,2.351831198E-1
6.444716210E-1,2.122756653E-2,-3.191770986E-2,2.412917763E-1
6.465889410E-1,1.053742506E-2,-1.237002108E-2,2.438879460E-1
6.486972370E-1,-7.635815535E-3,-3.817907767E-3,2.464841306E-1
6.508077210E-1,-3.084869497E-2,-1.221730490E-3,2.478585690E-1
6.529136580E-1,-4.535674304E-2,-5.803219974E-3,2.454151064E-1
6.550193600E-1,-4.780020565E-2,8.704829961E-3,2.417499274E-1
6.571199260E-1,-4.276056588E-2,3.161227703E-2,2.380847335E-1
